
optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	7.83	0.2010 6.2 0.0000 0.1000 0.9000	0.2010 6.2 0.0000 0.1000 0.9000
99	8.12	0.2021 6.1 0.0000 0.1000 0.9000	0.2021 6.1 0.0000 0.1000 0.9000
149	8.41	0.2104 6.0 0.0000 0.2000 0.9000	0.2104 6.0 0.0000 0.2000 0.9000
199	8.69	0.2121 6.0 0.0000 0.2000 0.9000	0.2121 6.0 0.0000 0.2000 0.9000
249	8.99	0.2097 6.1 0.0000 0.2000 0.9000	0.2097 6.1 0.0000 0.2000 0.9000
299	9.29	0.2180 6.0 0.0000 0.3000 0.9000	0.2180 6.0 0.0000 0.3000 0.9000
349	9.62	0.2230 5.9 0.0000 0.3000 0.9000	0.2230 5.9 0.0000 0.3000 0.9000
399	9.96	0.2546 5.9 0.0000 0.3000 0.9000	0.2546 5.9 0.0000 0.3000 0.9000
449	10.30	0.2504 6.1 0.0000 0.3000 0.9000	0.2504 6.1 0.0000 0.3000 0.9000
499	10.65	0.2504 6.1 0.0000 0.3000 0.9000	0.2504 6.1 0.0000 0.3000 0.9000
549	11.00	0.2473 6.3 0.0000 0.3000 0.9000	0.2473 6.3 0.0000 0.3000 0.9000
599	11.33	0.2463 6.4 0.0000 0.3000 0.8000	0.2463 6.4 0.0000 0.3000 0.8000
649	11.68	0.2480 6.4 0.0000 0.3000 0.8000	0.2480 6.4 0.0000 0.3000 0.8000
699	12.02	0.2430 6.5 0.0000 0.3000 0.8000	0.2430 6.5 0.0000 0.3000 0.8000
749	12.37	0.2437 6.4 0.0000 0.3000 0.8000	0.2437 6.4 0.0000 0.3000 0.8000
799	12.73	0.2394 6.5 0.0000 0.3000 0.8000	0.2394 6.5 0.0000 0.3000 0.8000
849	13.08	0.2371 6.7 0.0000 0.3000 0.8000	0.2371 6.7 0.0000 0.3000 0.8000
899	13.44	0.2454 6.5 0.0000 0.3000 0.8000	0.2454 6.5 0.0000 0.3000 0.8000
949	13.79	0.2440 6.6 0.0000 0.3000 0.8000	0.2440 6.6 0.0000 0.3000 0.8000
999	14.14	0.2429 6.7 0.0000 0.3000 0.8000	0.2429 6.7 0.0000 0.3000 0.8000
best_performance: 399	9.96	0.2546 5.9 0.0000 0.3000 0.9000	0.2546 5.9 0.0000 0.3000 0.9000
