
optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30

optim:adam r:4.0 lamb:0.01, d:100, temp:2.0, lr:0.0001, N_1:30, N_2:30
49	1.83	0.1368 9.6 0.0000 0.0000 0.4000	0.1368 9.6 0.0000 0.0000 0.4000
99	2.22	0.1415 9.6 0.0000 0.0000 0.5000	0.1415 9.6 0.0000 0.0000 0.5000
149	2.61	0.1449 9.6 0.0000 0.1000 0.5000	0.1449 9.6 0.0000 0.1000 0.5000
199	3.01	0.1588 9.3 0.0000 0.2000 0.5000	0.1588 9.3 0.0000 0.2000 0.5000
249	3.40	0.1594 9.2 0.0000 0.2000 0.5000	0.1594 9.2 0.0000 0.2000 0.5000
299	3.78	0.1746 9.3 0.0000 0.2000 0.4000	0.1746 9.3 0.0000 0.2000 0.4000
349	4.22	0.1763 9.1 0.0000 0.2000 0.5000	0.1763 9.1 0.0000 0.2000 0.5000
399	4.67	0.1730 9.2 0.0000 0.2000 0.5000	0.1730 9.2 0.0000 0.2000 0.5000
449	5.10	0.1905 9.0 0.0000 0.2000 0.6000	0.1905 9.0 0.0000 0.2000 0.6000
499	5.54	0.1882 9.1 0.0000 0.2000 0.6000	0.1882 9.1 0.0000 0.2000 0.6000
549	5.99	0.1855 9.3 0.0000 0.2000 0.5000	0.1855 9.3 0.0000 0.2000 0.5000
599	6.45	0.1830 9.5 0.0000 0.2000 0.5000	0.1830 9.5 0.0000 0.2000 0.5000
649	6.92	0.1813 9.7 0.0000 0.2000 0.4000	0.1813 9.7 0.0000 0.2000 0.4000
699	7.37	0.1805 9.8 0.0000 0.2000 0.4000	0.1805 9.8 0.0000 0.2000 0.4000
749	7.83	0.1799 9.9 0.0000 0.2000 0.4000	0.1799 9.9 0.0000 0.2000 0.4000
