best_performance: 49	7.91	0.4200 4.0 0.2000 0.5000 1.0000	0.4200 4.0 0.2000 0.5000 1.0000
best_performance: 449	2.44	0.4918 5.2 0.4000 0.4000 0.8000	0.4918 5.2 0.4000 0.4000 0.8000
[{'mrr':0.4200, 'best_performance': [49	7.91 4.0 0.2000 0.5000 1.0000	0.4200 4.0 0.2000 0.5000 1.0000]}]best_performance: 99	0.51	0.4421 5.1 0.3000 0.4000 0.9000	0.4421 5.1 0.3000 0.4000 0.9000
best_performance: 49	1.50	0.2548 6.1 0.0000 0.3000 0.9000	0.2548 6.1 0.0000 0.3000 0.9000
best_performance: 49	1.54	0.3759 5.3 0.1000 0.5000 0.8000	0.3759 5.3 0.1000 0.5000 0.8000
best_performance: 49	1.64	0.4569 4.4 0.3000 0.4000 0.9000	0.4569 4.4 0.3000 0.4000 0.9000
best_performance: 49	1.54	0.3992 5.5 0.2000 0.5000 0.8000	0.3992 5.5 0.2000 0.5000 0.8000
best_performance: 49	7.65	0.2937 6.2 0.1000 0.3000 0.8000	0.2937 6.2 0.1000 0.3000 0.8000
best_performance: 49	1.45	0.4496 5.3 0.3000 0.6000 0.7000	0.4496 5.3 0.3000 0.6000 0.7000
best_performance: 49	1.44	0.3229 7.9 0.2000 0.4000 0.6000	0.3229 7.9 0.2000 0.4000 0.6000
best_performance: 99	1.67	0.2600 6.7 0.1000 0.2000 0.8000	0.2600 6.7 0.1000 0.2000 0.8000
best_performance: 49	1.41	0.3428 4.4 0.0000 0.6000 0.9000	0.3428 4.4 0.0000 0.6000 0.9000
best_performance: 49	1.59	0.4296 5.8 0.2000 0.6000 0.7000	0.4296 5.8 0.2000 0.6000 0.7000
best_performance: 49	1.44	0.2692 6.4 0.1000 0.2000 0.9000	0.2692 6.4 0.1000 0.2000 0.9000
best_performance: 49	1.80	0.3303 5.5 0.1000 0.5000 0.8000	0.3303 5.5 0.1000 0.5000 0.8000
best_performance: 49	1.59	0.3377 4.5 0.1000 0.5000 0.9000	0.3377 4.5 0.1000 0.5000 0.9000
best_performance: 49	1.60	0.2452 5.4 0.0000 0.2000 0.9000	0.2452 5.4 0.0000 0.2000 0.9000
best_performance: 49	1.75	0.3779 5.9 0.2000 0.5000 0.7000	0.3779 5.9 0.2000 0.5000 0.7000
best_performance: 49	1.58	0.3112 6.1 0.1000 0.4000 0.8000	0.3112 6.1 0.1000 0.4000 0.8000
best_performance: 99	1.87	0.3944 5.2 0.2000 0.4000 0.8000	0.3944 5.2 0.2000 0.4000 0.8000
best_performance: 49	1.60	0.4143 5.6 0.2000 0.5000 0.8000	0.4143 5.6 0.2000 0.5000 0.8000
best_performance: 49	1.56	0.3436 4.7 0.1000 0.5000 0.9000	0.3436 4.7 0.1000 0.5000 0.9000
best_performance: 49	1.56	0.5251 4.4 0.4000 0.6000 0.8000	0.5251 4.4 0.4000 0.6000 0.8000
best_performance: 99	1.79	0.2296 6.0 0.0000 0.2000 0.9000	0.2296 6.0 0.0000 0.2000 0.9000
best_performance: 99	1.98	0.1881 8.3 0.0000 0.2000 0.5000	0.1881 8.3 0.0000 0.2000 0.5000
best_performance: 99	1.93	0.3159 7.2 0.2000 0.2000 0.7000	0.3159 7.2 0.2000 0.2000 0.7000
best_performance: 49	1.53	0.2773 7.4 0.1000 0.4000 0.7000	0.2773 7.4 0.1000 0.4000 0.7000
