best_performance: 99	2.13	0.2638 4.8 0.0000 0.3000 0.9000	0.2638 4.8 0.0000 0.3000 0.9000
best_performance: 99	0.73	0.3867 4.3 0.2000 0.4000 0.9000	0.3867 4.3 0.2000 0.4000 0.9000
best_performance: 99	2.03	0.3727 4.1 0.1000 0.6000 0.9000	0.3727 4.1 0.1000 0.6000 0.9000
best_performance: 49	0.39	0.2595 6.7 0.0000 0.3000 0.8000	0.2595 6.7 0.0000 0.3000 0.8000
best_performance: 99	0.80	0.3117 3.6 0.0000 0.5000 1.0000	0.3117 3.6 0.0000 0.5000 1.0000
best_performance: 49	0.36	0.3135 4.1 0.0000 0.6000 1.0000	0.3135 4.1 0.0000 0.6000 1.0000
best_performance: 49	0.61	0.2975 5.0 0.0000 0.5000 0.9000	0.2975 5.0 0.0000 0.5000 0.9000
best_performance: 49	0.53	0.1236 8.8 0.0000 0.0000 0.7000	0.1236 8.8 0.0000 0.0000 0.7000
best_performance: 99	0.85	0.1980 7.4 0.0000 0.2000 0.7000	0.1980 7.4 0.0000 0.2000 0.7000
best_performance: 49	0.35	0.2592 5.8 0.0000 0.3000 0.8000	0.2592 5.8 0.0000 0.3000 0.8000
best_performance: 49	0.41	0.3150 4.3 0.0000 0.6000 0.9000	0.3150 4.3 0.0000 0.6000 0.9000
best_performance: 49	0.51	0.2587 6.0 0.0000 0.4000 0.7000	0.2587 6.0 0.0000 0.4000 0.7000
